impl,kernel,B,T,D,N,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms
B4_fused,phase2_fused,1,128,1024,,0.20886491081910208,0.1985415001399815,0.22929199622012675,0.06752795046562406,0.1777909928932786,0.8604169997852296
B1_naive,depth_attention_naive,1,128,2048,4,0.31828374980250373,0.3103540075244382,0.3530420071911067,0.03627391092323102,0.2845419803634286,0.6196250033099204
B3_two_phase,phase1_interblock,1,128,2048,4,0.7475067293853499,0.7220834959298372,0.8099580009002239,0.14248851509161467,0.6326250149868429,2.09054202423431
B1_naive,depth_attention_naive,1,128,2048,8,0.4367249394999817,0.4313749959692359,0.46970800030976534,0.018667075712480812,0.4140830133110285,0.5362919764593244
B3_two_phase,phase1_interblock,1,128,2048,8,1.1981534596998245,1.1786874965764582,1.2527079961728305,0.09149725228666782,1.1392919986974448,1.979209017008543
B1_naive,depth_attention_naive,1,128,2048,16,0.9420242597116157,0.9329379972768947,1.0514579771552235,0.06832704699059379,0.8686250075697899,1.3873749994672835
B3_two_phase,phase1_interblock,1,128,2048,16,2.087290119379759,2.064333501039073,2.172915992559865,0.09422504679876928,2.0233749819453806,2.8996669861953706
B3_two_phase,phase2_ref,1,128,2048,,0.2589746908051893,0.2565415052231401,0.28737500542774796,0.013442116096645407,0.2316670143045485,0.3026670019607991
B4_fused,phase2_fused,1,128,2048,,0.21126867068232968,0.20662551105488092,0.23629199131391943,0.013753870935247495,0.1917910121846944,0.2574580139480531
B1_naive,depth_attention_naive,1,512,512,4,0.30208625859813765,0.2988119813380763,0.3293750050943345,0.025847103804423836,0.27829097234643996,0.5233339907135814
B3_two_phase,phase1_interblock,1,512,512,4,0.7427562691736966,0.71272901550401,0.8003750117495656,0.1405504912983903,0.6448749918490648,1.947291981196031
B1_naive,depth_attention_naive,1,512,512,8,0.4569195385556668,0.437791517470032,0.516875006724149,0.07004467113196915,0.41737500578165054,0.9572079870849848
B3_two_phase,phase1_interblock,1,512,512,8,1.2088201000005938,1.1876460048370063,1.2559590104501694,0.10044192257922546,1.0961250227410346,2.0625420147553086
B1_naive,depth_attention_naive,1,512,512,16,0.9177820896729827,0.9077084832824767,0.9722920076455921,0.05452558577777539,0.8359169878531247,1.293333014473319
B3_two_phase,phase1_interblock,1,512,512,16,2.072985839913599,2.059062506305054,2.1227919787634164,0.06673175365869773,2.0465409907046705,2.7061250002589077
B3_two_phase,phase2_ref,1,512,512,,0.2603567301412113,0.25739600823726505,0.292125012492761,0.016018833707540144,0.2289589901920408,0.31291699269786477
B4_fused,phase2_fused,1,512,512,,0.21612415846902877,0.20462548127397895,0.2500409900676459,0.05920451376096839,0.18937498680315912,0.7820840110071003
B1_naive,depth_attention_naive,1,512,1024,4,0.443681699980516,0.4335629928391427,0.4952089802827686,0.025057184764265748,0.41979202069342136,0.5419579974841326
B3_two_phase,phase1_interblock,1,512,1024,4,1.196031701110769,1.17385400517378,1.2319170054979622,0.14049123477205314,1.101000001654029,2.551957994000986
B1_naive,depth_attention_naive,1,512,1024,8,0.9331637891591527,0.9183750080410391,0.9744589915499091,0.08916453192930728,0.8381660154554993,1.704041991615668
B3_two_phase,phase1_interblock,1,512,1024,8,2.085704679484479,2.0745629881275818,2.121291996445507,0.0657388593369202,2.0590840140357614,2.7202909986954182
B1_naive,depth_attention_naive,1,512,1024,16,1.7870304602547549,1.7695415153866634,1.830708992201835,0.08906513200670488,1.7274999991059303,2.6255419943481684
